sa2_code,median_hh_income_2016
210011227,0
210031438,1254
209041216,1432
213031349,1765
212021297,1297
209031211,1434
206031113,1757
213021344,2071
211051285,1611
208041195,1937
209041225,1452
214011372,1043
206071145,2193
208021181,1656
209031212,1881
212031300,1251
207031164,1544
214021377,1157
216011407,1066
213051464,2131
207011153,2205
212051326,1520
217041477,1210
202021031,1689
206041122,977
211011254,1589
214021385,1479
208021176,1477
205011077,1208
206071141,1712
207031167,2147
213021346,2007
205021082,1082
215011390,928
206071143,1920
205021080,0
213051368,1313
214011371,1099
204021066,1026
213041461,1412
212011290,1335
213051361,1493
209011200,1925
206051128,2185
206041125,2018
209041430,1811
210011230,1747
208031188,1466
209021429,1529
201011002,1327
215011388,1102
203011036,1358
212031303,1865
212041316,1213
216021412,1130
213011337,1094
201011008,958
208031192,0
215031405,1091
213041358,1426
213011328,1071
217011420,1028
203031052,1211
216011409,1002
206021112,1537
212051323,1628
209011202,1731
210021232,1869
212041460,1102
209041433,1606
208021177,1922
214021383,1096
217031476,936
211051283,1655
206011108,1636
211041273,1665
206011106,1723
211011259,1574
209041436,1592
212041309,1417
213011339,1527
213051363,1587
205031088,477
206051131,1874
205011076,1170
212031304,1564
210051250,1194
201011006,1272
204031072,1039
207011151,1821
211011446,1310
212031308,1536
204031069,1039
206051134,1636
209021428,1386
215011387,1006
209031209,2127
206061137,1769
207031166,1373
205021086,914
216021411,959
207031163,1200
201021012,1329
203011035,1400
204031074,1245
202021026,1582
211051286,1142
208031191,1569
212021456,1345
213041353,1427
214011375,1208
217031473,1150
202011018,1029
208021180,1688
208031183,2039
212021453,1485
213021341,1440
201031015,1124
201021011,1016
207031165,1126
207031162,1516
212011291,1371
213031348,1314
210011231,2069
206041123,1379
208011171,1724
212041459,1117
217011421,1035
212021294,1901
209041431,1403
202031032,1187
212051320,1070
213051468,1496
208031193,1701
209011203,1684
202021028,1043
206011107,1416
208031186,1376
202011022,1060
210011228,1527
215011392,973
209011196,1362
209011201,2416
206021111,1862
208021426,1763
216031416,1221
213031347,1232
203021045,956
209041224,1647
202021027,965
211041270,1650
210051245,1386
213051362,1324
210021233,1932
206051130,2190
217031475,1147
209041437,1612
201011007,1583
205021085,769
203021040,1275
209011204,1545
213021345,1676
210051249,1358
212011292,1390
211051280,1711
215031403,1085
206041118,1868
210051443,1489
203021041,1376
211011251,1301
211041271,1510
205031090,1128
206061135,2007
212031302,1591
207011154,2152
203021038,866
202011023,1828
204031073,1315
214011374,1595
209041220,1528
213041356,1180
209041223,1017
204011058,1061
201011004,945
215021399,1083
215031400,839
213011332,1379
205011079,1211
202021030,1269
204011056,1323
204021064,1121
210051247,1044
201031014,957
204011060,1525
213051369,1511
206071144,2015
208031187,1515
209041219,1112
214021378,1715
205021083,0
208011173,2111
212021454,1468
211031265,2018
203021042,1676
205031089,1075
207011155,2341
206041117,561
216021414,962
215031402,886
214021384,930
207021159,1916
215031404,1098
205031092,2249
214021382,1707
205021084,889
211011258,2054
204011061,747
210011229,1411
216031418,1408
202021029,895
207011147,1737
208011169,2409
213011330,1403
212031301,1710
213011335,1037
204011057,1063
203021047,1096
211031450,1314
208021174,1830
215011394,881
201031017,782
206021110,1818
212041313,1596
204021067,1210
202031033,824
204011059,977
210051445,1816
207011150,2438
205031087,912
210041240,1708
208021182,1553
208031190,1521
211031266,1360
205051102,1314
215021469,975
205041095,872
215021395,1290
217031472,1055
211011256,1763
206041126,1857
212031305,1307
215011389,1146
210051248,2250
206011109,1840
212021299,2182
204011062,1003
209021207,1138
210031439,1779
206031114,1795
210021234,1830
213031352,2043
205021081,985
203031048,1163
205051104,901
217041479,1210
210031236,1503
215011391,845
209031210,1799
205041094,1265
216031419,1163
208031185,1547
208021178,1911
202011020,1154
205031093,909
209031214,2295
205041097,1300
202011024,1851
204011055,914
202011021,1169
207011149,2212
211051274,1748
207031161,1693
213021343,1274
212041317,1077
205011078,1220
211051284,1762
211031452,1587
216021413,1048
212011288,1502
216031415,996
209041217,1156
217011423,1068
213051365,1718
213011333,1074
212041311,994
212041310,1257
208031189,1787
206051133,1625
203021044,1358
210031237,1088
215011393,966
211011260,1577
214011373,1617
209041432,1205
210031239,1545
210051442,1669
206031116,1861
211031268,1910
213011334,990
211011255,2337
213051366,1744
202011019,951
213051465,1968
206071140,1991
208011170,2180
211011449,1723
210051243,927
209041435,1889
212021295,973
204031075,1445
213011329,1748
212011287,1875
209031213,2183
205041096,808
211021262,2333
212021293,1558
213051466,2104
211051282,1680
214011376,1914
206061138,2313
201011005,1634
210051242,913
209031215,2066
212041312,1183
211051277,1343
213051467,1198
213031350,1861
212051321,1564
204031070,1341
212051324,1655
210051246,2020
210011226,1375
211041272,1664
213011338,1147
211051275,1728
216011406,1144
212031457,2006
203021039,1276
212041314,1587
208011172,2031
212031458,1654
213021342,1370
213031351,1449
207021157,1364
216011410,913
207021424,1743
209011197,1727
203031049,1262
210051441,1350
211051276,1278
205031091,947
201011001,1585
204011054,936
215021470,1087
215021396,1056
211011257,1922
213041355,1874
213011336,1185
206071142,1715
214021380,1203
203021037,1142
212011289,1716
211031267,1592
210021235,1579
211031263,1519
212051322,1541
206051129,1893
215031401,923
206051132,1868
208011168,2213
217031471,921
211031451,1388
203031053,1767
201031016,769
213041462,1841
212051319,1554
209011199,1194
217041480,1144
211011448,1574
211011447,1356
210041241,1510
201031013,791
212031306,1948
216011408,1193
203031050,1577
217031474,994
206041124,1610
211041269,1344
206071139,2001
207011146,2251
207021160,1596
206041120,1792
205041098,1370
214011370,1339
208021179,1877
204031068,1173
215011386,998
208041194,2075
201011003,1198
206061136,1841
206011105,1725
215021398,1019
209041221,1469
210051444,1510
202011025,1393
210031440,1129
209021208,1268
203021046,1674
207011148,1996
211051281,1594
204021063,905
204021065,1143
212021455,1619
211051279,1505
214021381,2030
213011331,1290
205051101,1125
212051325,1572
203031051,896
207011152,1950
213041359,1119
207021156,1501
212051327,1670
206031115,1265
217011422,1050
214021379,1175
203021043,1554
208021427,1705
203011034,1710
209011198,1731
213041357,1338
207021425,1316
213011340,1847
209021205,1367
216031417,1145
205051103,1162
211021261,1945
206041127,0
212041318,1220
201021009,1369
205051100,943
204031071,960
209041434,1659
206041119,2285
201021010,994
213041463,1819
208031184,900
211051278,1466
206041121,1956
217041478,1217
213041360,1890
205051099,850
297979799,0
299999499,0
